,ni,nj,nk,disruption,name,confidence
mn0000184502,104.0,42.0,451.0,0.10385259631490787,Ella Fitzgerald,1.0
mn0000352499,11.0,11.0,113.0,0.0,Memphis Minnie,0.5004
mn0000079016,159.0,45.0,522.0,0.15702479338842976,Billie Holiday,1.0
mn0000108117,4.0,10.0,78.0,-0.06521739130434782,Clara Ward,0.8515
mn0000836144,0.0,4.0,78.0,-0.04878048780487805,Lucille Bogan,0.797
mn0000935212,11.0,3.0,45.0,0.13559322033898305,Alberta Hunter,0.9202
mn0000204901,23.0,72.0,423.0,-0.0945945945945946,Sarah Vaughan,1.0
mn0000066228,11.0,1.0,119.0,0.07633587786259542,Big Maybelle,0.9671
mn0000066915,524.0,260.0,1158.0,0.13594232749742532,Bob Dylan,1.0
mn0000816890,131.0,103.0,697.0,0.03007518796992481,Johnny Cash,0.9638
mn0000232564,53.0,22.0,1577.0,0.018765133171912834,John Lennon,0.9995
mn0000754032,1062.0,430.0,1314.0,0.22523164647184604,The Beatles,1.0
mn0000051992,55.0,186.0,3416.0,-0.035821711785616626,Big Star,1.0
mn0000182360,6.0,39.0,2509.0,-0.012920908379013312,Donny Hathaway,1.0
mn0000308772,0.0,3.0,140.0,-0.02097902097902098,Nancy LaMott,0.7429
mn0000080919,1.0,5.0,303.0,-0.012944983818770227,Irene Kral,0.7886
mn0000776337,4.0,6.0,350.0,-0.005555555555555556,Chris Connor,0.6406
mn0000345734,5.0,14.0,428.0,-0.020134228187919462,Rosemary Clooney,0.9266
mn0000837592,5.0,10.0,344.0,-0.013927576601671309,June Christy,0.7934
mn0000568368,3.0,10.0,812.0,-0.008484848484848486,Helen Merrill,0.892
mn0000150629,51.0,2.0,4.0,0.8596491228070176,Édith Piaf,1.0
mn0000314113,7.0,7.0,5.0,0.0,Julie Andrews,0.5049
mn0000112017,13.0,2.0,534.0,0.020036429872495445,Jo Stafford,0.9726
mn0000101895,0.0,5.0,763.0,-0.006510416666666667,Joe,0.8482
mn0000316834,154.0,86.0,698.0,0.07249466950959488,Marvin Gaye,1.0
mn0000094658,2.0,4.0,618.0,-0.003205128205128205,Commissioned,0.6557
mn0000243474,6.0,7.0,540.0,-0.0018083182640144665,Lionel Richie,0.57
mn0000208076,12.0,37.0,797.0,-0.02955082742316785,Luther Vandross,0.9987
mn0000607448,47.0,67.0,852.0,-0.020703933747412008,Al Green,0.9569
mn0000330453,1.0,0.0,306.0,0.003257328990228013,Ralph Tresvant,0.5952
mn0000061226,15.0,24.0,2385.0,-0.0037128712871287127,Babyface,0.8794
mn0000149044,30.0,7.0,397.0,0.052995391705069124,Barry White,0.9991
mn0000767016,9.0,9.0,558.0,0.0,Keith Sweat,0.5132
mn0000020278,12.0,26.0,540.0,-0.02422145328719723,Teddy Pendergrass,0.9715
mn0000061044,12.0,17.0,948.0,-0.00511770726714432,Bobby Brown,0.7629
mn0000467203,142.0,76.0,2889.0,0.021242355970389443,Michael Jackson,1.0
mn0000576839,12.0,2.0,32.0,0.21739130434782608,The Winans,0.9608
mn0000082831,8.0,25.0,440.0,-0.035940803382663845,The Ink Spots,0.9918
mn0000402509,16.0,13.0,46.0,0.04,The Orioles,0.6731
mn0000170688,4.0,1.0,3.0,0.375,Vic Dickenson,0.7326
mn0000119111,17.0,9.0,390.0,0.019230769230769232,J.J. Johnson,0.8887
mn0000503602,17.0,1.0,3379.0,0.0047100382690609364,The Sea and Cake,0.9969
mn0000583478,21.0,17.0,1841.0,0.0021287919105907396,The Wedding Present,0.6999
mn0000937003,174.0,194.0,3883.0,-0.004704775346977182,My Bloody Valentine,0.8404
mn0000153565,23.0,45.0,3116.0,-0.006909547738693468,Belle and Sebastian,0.991
mn0000922911,2.0,4.0,1810.0,-0.0011013215859030838,Mojave 3,0.6564
mn0000270491,187.0,110.0,1690.0,0.038751887267237044,Joni Mitchell,1.0
mn0000769444,89.0,75.0,1868.0,0.006889763779527559,Björk,0.8522
mn0000636433,20.0,1.0,1220.0,0.015310233682514102,The Cardigans,0.9986
mn0000401287,34.0,21.0,2716.0,0.004691447130999639,Mazzy Star,0.9321
mn0000803009,28.0,30.0,2467.0,-0.0007920792079207921,Cat Power,0.5911
mn0000135180,5.0,3.0,6.0,0.14285714285714285,Creed Taylor,0.6467
mn0000765223,2.0,0.0,132.0,0.014925373134328358,Bobby Scott,0.6731
